Id,name,username,generation,specialty,dateBirth
20,userv2_20,usernamev2_20,2023,FrontEnd,2001-01-21
21,userv2_21,usernamev2_21,2024,IngeDatos,2002-03-23
22,userv2_22,usernamev2_22,2024,IngeDatos,2002-03-23
23,userv2_23,usernamev2_23,2021,BackEnd,2001-05-25
24,userv2_24,usernamev2_24,2022,FrontEnd,2002-06-26
25,userv2_25,usernamev2_25,2023,IngeDatos,2001-07-27
26,userv2_26,usernamev2_26,2024,BackEnd,2002-08-28
27,userv2_27,usernamev2_27,2021,FrontEnd,2001-09-29
28,userv2_28,usernamev2_28,2022,IngeDatos,2002-10-30
29,userv2_29,usernamev2_29,2022,BackEnd,2002-02-22
